key,ar,de,en,es,fr,it,ja,nl,pl,pt
failed_to_check_user_status,فشل في التحقق من حالة المستخدم: %s,Benutzerstatus konnte nicht überprüft werden: %s,Failed to check user status: %s,Error al comprobar el estado del usuario: %s,Impossible de vérifier le statut de l'utilisateur : %s,Impossibile controllare lo stato dell'utente: %s,ユーザーステータスの確認に失敗しました: %s,Kan gebruikersstatus niet controleren: %s,Nie udało się sprawdzić statusu użytkownika: %s,Falha ao verificar status do usuário: %s
failed_to_delete_message,فشل في حذف الرسالة: %1$s,Nachricht konnte nicht gelöscht werden: %1$s,Failed to delete message: %1$s,Error al eliminar el mensaje: %1$s,Impossible de supprimer le message : %1$s,Impossibile eliminare il messaggio: %1$s,メッセージの削除に失敗しました: %1$s,Kan bericht niet verwijderen: %1$s,Nie udało się usunąć wiadomości: %1$s,Falha ao excluir mensagem: %1$s
failed_to_fetch_groups_error,فشل في جلب المجموعات: %1$s,Gruppen konnten nicht abgerufen werden: %1$s,Failed to fetch groups: %1$s,Error al obtener grupos: %1$s,Impossible de récupérer les groupes : %1$s,Impossibile recuperare i gruppi: %1$s,グループの取得に失敗しました: %1$s,Kan groepen niet ophalen: %1$s,Nie udało się pobrać grup: %1$s,Falha ao buscar grupos: %1$s
failed_to_fetch_groups_retries,فشل في جلب المجموعات بعد %1$d محاولة,Gruppen konnten nach %1$d Versuchen nicht abgerufen werden,Failed to fetch groups after %1$d retries,Error al obtener grupos después de %1$d intentos,Impossible de récupérer les groupes après %1$d tentatives,Impossibile recuperare i gruppi dopo %1$d tentativi,%1$d回のリトライ後にグループの取得に失敗しました,Kan groepen niet ophalen na %1$d pogingen,Nie udało się pobrać grup po %1$d próbach,Falha ao buscar grupos após %1$d tentativas
failed_to_fetch_user_id,فشل في جلب معرف المستخدم: %1$s,Benutzer-ID konnte nicht abgerufen werden: %1$s,Failed to fetch user ID: %1$s,Error al obtener el ID de usuario: %1$s,Impossible de récupérer l'ID utilisateur : %1$s,Impossibile recuperare l'ID utente: %1$s,ユーザーIDの取得に失敗しました: %1$s,Kan gebruikers-ID niet ophalen: %1$s,Nie udało się pobrać identyfikatora użytkownika: %1$s,Falha ao buscar ID do usuário: %1$s
failed_to_get_bot_info,فشل في الحصول على معلومات البوت: %1$s,Bot-Informationen konnten nicht abgerufen werden: %1$s,Failed to get bot info: %1$s,Error al obtener la información del bot: %1$s,Impossible d'obtenir les informations du bot : %1$s,Impossibile ottenere le informazioni del bot: %1$s,ボット情報の取得に失敗しました: %1$s,Kan botinformatie niet ophalen: %1$s,Nie udało się pobrać informacji o bocie: %1$s,Falha ao obter informações do bot: %1$s
failed_to_launch_app,فشل في تشغيل التطبيق: %s,App konnte nicht gestartet werden: %s,Failed to launch app: %s,Error al iniciar la aplicación: %s,Impossible de lancer l'application : %s,Impossibile avviare l'app: %s,アプリの起動に失敗しました: %s,Kan app niet starten: %s,Nie udało się uruchomić aplikacji: %s,Falha ao lançar aplicativo: %s
failed_to_save_message,فشل في حفظ الرسالة: %1$s,Nachricht konnte nicht gespeichert werden: %1$s,Failed to save message: %1$s,Error al guardar el mensaje: %1$s,Impossible de sauvegarder le message : %1$s,Impossibile salvare il messaggio: %1$s,メッセージの保存に失敗しました: %1$s,Kan bericht niet opslaan: %1$s,Nie udało się zapisać wiadomości: %1$s,Falha ao salvar mensagem: %1$s
foreground,الواجهة,Vordergrund,Foreground,Primer Plano,Premier Plan,Primo Piano,フォアグラウンド,Voorgrond,Pierwszy plan,Primeiro Plano
go_to_settings,الانتقال إلى الإعدادات,Zu den Einstellungen,Go to Settings,Ir a Configuración,Aller aux Paramètres,Vai alle Impostazioni,設定に移動,Ga naar Instellingen,Przejdź do ustawień,Ir para Configurações
group_setup_message,اختر كيف تريد تكوين مجموعة تيليجرام الخاصة بك:\n - أضف البوت إلى مجموعة جديدة وفعّله باستخدام /start.\n أو\n - اختر مجموعة حيث يكون البوت موجودًا بالفعل وفعّله لك باستخدام /start,"Wählen Sie, wie Sie Konfigurieren Sie Ihre Telegram-Gruppe:\n - Fügen Sie den Bot einer neuen Gruppe hinzu und aktivieren Sie ihn mit /start.\n Oder\n - Wählen Sie eine Gruppe aus, in der der Bot bereits vorhanden ist, und aktivieren Sie ihn mit /start.","
Choose how you want to configure your Telegram group:\n
- Add the bot to a new group and activate it with /start.\n
Or\n
- Select a group where the bot is already present and activate it for you with /start
",Elige cómo quieres configurar tu grupo de Telegram:\n - Añade el bot a un nuevo grupo y actívalo con /start.\n O\n - Selecciona un grupo donde el bot ya esté presente y actívalo para ti con /start,Choisissez comment vous voulez configurer votre groupe Telegram :\n - Ajoutez le bot à un nouveau groupe et activez-le avec /start.\n Ou\n - Sélectionnez un groupe où le bot est déjà présent et activez-le pour vous avec /start,Scegli come vuoi configurare il tuo gruppo Telegram:\n - Aggiungi il bot a un nuovo gruppo e attivalo con /start.\n Oppure\n - Seleziona un gruppo dove il bot è già presente e attivalo per te con /start,Telegramグループを設定する方法を選択してください:\n - 新しいグループにボットを追加し、/startで有効化します。\n または\n - ボットが既に存在するグループを選択し、/startで自分用に有効化します。,Kies hoe je je Telegram-groep wilt configureren:\n - Voeg de bot toe aan een nieuwe groep en activeer deze met /start.\n Of\n - Selecteer een groep waar de bot al aanwezig is en activeer deze voor jezelf met /start,"Wybierz, jak chcesz skonfigurować swoją grupę Telegram:\n - Dodaj bota do nowej grupy i aktywuj go za pomocą /start.\n Lub\n - Wybierz grupę, w której bot jest już obecny i aktywuj go dla siebie za pomocą /start",Escolha como deseja configurar seu grupo do Telegram:\n - Adicione o bot a um novo grupo e ative-o com /start.\n Ou\n - Selecione um grupo onde o bot já está presente e ative-o para você com /start
invalid_chat_id_message,لا يمكن إرسال الرسالة: تم اختيار معرف دردشة غير صالح. يرجى اختيار مستخدم أو مجموعة صالحة.,Nachricht kann nicht gesendet werden: Ungültige Chat-ID ausgewählt. Bitte wählen Sie einen gültigen Benutzer oder eine gültige Gruppe aus.,Cannot send message: Invalid chat ID selected. Please select a valid user or group.,"No se puede enviar el mensaje: ID de chat no válido seleccionado. Por favor, selecciona un usuario o grupo válido.",Impossible d'envoyer le message : ID de discussion non valide sélectionné. Veuillez sélectionner un utilisateur ou un groupe valide.,Impossibile inviare il messaggio: ID chat non valido selezionato. Per favore seleziona un utente o un gruppo valido.,メッセージを送信できません: 無効なチャットIDが選択されました。有効なユーザーまたはグループを選択してください。,Kan bericht niet verzenden: Ongeldig chat-ID geselecteerd. Selecteer een geldige gebruiker of groep.,Nie można wysłać wiadomości: Wybrany nieprawidłowy identyfikator czatu. Proszę wybrać prawidłowego użytkownika lub grupę.,"Não é possível enviar a mensagem: ID de chat inválido selecionado. Por favor, selecione um usuário ou grupo válido."
join_group,الانضمام إلى المجموعة,Gruppe beitreten,Join Group,Unirse al Grupo,Rejoindre le Groupe,Unisciti al Gruppo,グループに参加,Doe mee aan Groep,Dołącz do grupy,Entrar no Grupo
launch_an_app,تشغيل تطبيق,App starten,Launch an App,Lanzar una Aplicación,Lancer une Application,Lancia un'App,アプリを起動,Start een App,Uruchom aplikację,Lançar um Aplicativo
launch_app_background,تشغيل %1$s (الخلفية),%1$s starten (Hintergrund),Launch %1$s (Background),Lanzar %1$s (Fondo),Lancer %1$s (Arrière-plan),Lancia %1$s (Sfondo),%1$sをバックグラウンドで起動,Start %1$s (Achtergrond),Uruchom %1$s (Tło),Lançar %1$s (Fundo)
launch_app_foreground,تشغيل %1$s (الواجهة),%1$s starten (Vordergrund),Launch %1$s (Foreground),Lanzar %1$s (Primer Plano),Lancer %1$s (Premier Plan),Lancia %1$s (Primo Piano),%1$sをフォアグラウンドで起動,Start %1$s (Voorgrond),Uruchom %1$s (Pierwszy plan),Lançar %1$s (Primeiro Plano)
launch_in_background,تشغيل في الخلفية (الحفاظ على XCTrack في الواجهة),Im Hintergrund starten (XCTrack im Vordergrund behalten),Launch in background (keep XCTrack in foreground),Lanzar en segundo plano (mantener XCTrack en primer plano),Lancer en arrière-plan (garder XCTrack au premier plan),Lancia in background (mantieni XCTrack in primo piano),バックグラウンドで起動（XCTrackをフォアグラウンドに保持）,Start in achtergrond (houd XCTrack op de voorgrond),Uruchom w tle (zachowaj XCTrack na pierwszym planie),Lançar em segundo plano (manter XCTrack em primeiro plano)
loading,جاري التحميل...,Wird geladen...,Loading...,Cargando...,Chargement...,Caricamento...,読み込み中...,Laden...,Ładowanie...,Carregando...
location_permission_denied,تم رفض إذن الموقع. يرجى منح الإذن للمتابعة.,"Standortberechtigung verweigert. Bitte erteilen Sie die Berechtigung, um fortzufahren.",Location permission denied. Please grant permission to continue.,"Permiso de ubicación denegado. Por favor, concede el permiso para continuar.",Permission de localisation refusée. Veuillez accorder la permission pour continuer.,Permesso posizione negato. Per favore concedi il permesso per continuare.,位置情報の許可が拒否されました。続行するには許可を付与してください。,Locatiepermissie geweigerd. Verleen toestemming om door te gaan.,"Odmowa uprawnień lokalizacji. Proszę udzielić uprawnień, aby kontynuować.","Permissão de localização negada. Por favor, conceda a permissão para continuar."
menu_about,حول,Info,About,Acerca de,À propos,Informazioni,について,Over,O programie,Sobre
menu_settings,الإعدادات,Einstellungen,Settings,Configuración,Paramètres,Impostazioni,設定,Instellingen,Ustawienia,Configurações
message_content_label,محتوى الرسالة,Nachrichteninhalt,Message Content,Contenido del Mensaje,Contenu du Message,Contenuto del Messaggio,メッセージ内容,Berichtinhoud,Treść wiadomości,Conteúdo da Mensagem
message_title_label,عنوان الرسالة,Nachrichtentitel,Message Title,Título del Mensaje,Titre du Message,Titolo del Messaggio,メッセージタイトル,Berichttitel,Tytuł wiadomości,Título da Mensagem
no_app_specified_to_launch,لم يتم تحديد تطبيق لتشغيله,Keine App zum Starten angegeben,No app specified to launch,Ninguna aplicación especificada para lanzar,Aucune application spécifiée à lancer,Nessuna app specificata da lanciare,起動するアプリが指定されていません,Geen app opgegeven om te starten,Nie określono aplikacji do uruchomienia,Nenhum aplicativo especificado para lançar
no_categories,لا توجد فئات متاحة,Keine Kategorien verfügbar,No categories available,No hay categorías disponibles,Aucune catégorie disponible,Nessuna categoria disponibile,利用可能なカテゴリがありません,Geen categorieën beschikbaar,Brak dostępnych kategorii,Nenhuma categoria disponível
no_categories_retry,لا توجد فئات متاحة. يرجى المحاولة مرة أخرى لاحقًا.,Keine Kategorien verfügbar. Bitte versuchen Sie es später erneut.,No categories available. Please try again later.,"No hay categorías disponibles. Por favor, inténtalo de nuevo más tarde.",Aucune catégorie disponible. Veuillez réessayer plus tard.,Nessuna categoria disponibile. Per favore riprova più tardi.,利用可能なカテゴリがありません。後でもう一度お試しください。,Geen categorieën beschikbaar. Probeer het later opnieuw.,Brak dostępnych kategorii. Proszę spróbować ponownie później.,"Nenhuma categoria disponível. Por favor, tente novamente mais tarde."
no_chats_found_with_the_bot,لم يتم العثور على دردشات مع البوت,Keine Chats mit dem Bot gefunden,No chats found with the bot,No se encontraron chats con el bot,Aucune discussion trouvée avec le bot,Nessuna chat trovata con il bot,ボットと共にチャットが見つかりません,Geen chats gevonden met de bot,Nie znaleziono czatów z botem,Nenhum chat encontrado com o bot
no_groups_available,لا توجد مجموعات مع البوت نشطة متاحة.,Keine Gruppen mit aktivem Bot verfügbar.,No groups with the bot active are available.,No hay grupos con el bot activo disponibles.,Aucun groupe disponible avec le bot actif.,Nessun gruppo disponibile con il bot attivo.,ボットがアクティブなグループが利用可能ではありません。,Geen groepen met de actieve bot beschikbaar.,Brak dostępnych grup z aktywnym botem.,Nenhum grupo com o bot ativo está disponível.
no_groups_found_with_the_bot,لم يتم العثور على مجموعات مع البوت,Keine Gruppen mit dem Bot gefunden,No groups found with the bot,No se encontraron grupos con el bot,Aucun groupe trouvé avec le bot,Nessun gruppo trovato con il bot,ボットと共にグループが見つかりません,Geen groepen gevonden met de bot,Nie znaleziono grup z botem,Nenhum grupo encontrado com o bot
no_internet_message,مطلوب اتصال بالإنترنت لإعداد هذه المهمة، اتصل بالإنترنت وحاول مرة أخرى.,Für diese Aufgabe ist eine Internetverbindung erforderlich. Stellen Sie eine Internetverbindung her und versuchen Sie es erneut.,"Internet connection is required to setup this task, connect to internet and retry.","Se requiere conexión a Internet para configurar esta tarea, conéctate a Internet y vuelve a intentarlo.","La connexion Internet est requise pour configurer cette tâche, connectez-vous à Internet et réessayez.","La connessione internet è richiesta per configurare questo compito, connettiti a internet e riprova.",このタスクを設定するにはインターネット接続が必要です。インターネットに接続して再試行してください。,"Internetverbinding is vereist om deze taak in te stellen, verbind met internet en probeer het opnieuw.","Do skonfigurowania tego zadania wymagane jest połączenie z internetem, podłącz się do internetu i spróbuj ponownie.","Conexão com a internet é necessária para configurar esta tarefa, conecte-se à internet e tente novamente."
no_internet_title,لا يوجد اتصال بالإنترنت,Keine Internetverbindung,No Internet Connection,Sin Conexión a Internet,Aucune Connexion Internet,Nessuna Connessione Internet,インターネット接続がありません,Geen internetverbinding,Brak połączenia z internetem,Sem Conexão com a Internet
no_items_available,لا توجد عناصر متاحة,Keine Elemente verfügbar,No items available,No hay elementos disponibles,Aucun élément disponible,Nessun elemento disponibile,利用可能なアイテムがありません,Geen items beschikbaar,Brak dostępnych elementów,Nenhum item disponível
no_sound_files,لا توجد ملفات صوتية,Keine Sounddateien,No sound files,No hay archivos de sonido,Aucun fichier audio,Nessun file audio,サウンドファイルがありません,Geen geluidsbestanden,Brak plików dźwiękowych,Nenhum arquivo de som
no_start_command,لم يتم العثور على أمر /start في التحديثات الأخيرة,Kein /start-Befehl in den letzten Updates gefunden,No /start command found in recent updates,No se encontró el comando /start en las actualizaciones recientes,Aucune commande /start trouvée dans les mises à jour récentes,Nessun comando /start trovato negli aggiornamenti recenti,最近の更新で/startコマンドが見つかりません,Geen /start commando gevonden in recente updates,Nie znaleziono polecenia /start w ostatnich aktualizacjach,Nenhum comando /start encontrado nas atualizações recentes
no_telegram_chats,لا توجد دردشات تيليجرام متاحة,Keine Telegram-Chats verfügbar,No Telegram Chats Available,No hay Chats de Telegram Disponibles,Aucune Discussion Telegram Disponible,Nessuna Chat Telegram Disponibile,利用可能なTelegramチャットがありません,Geen Telegram Chats Beschikbaar,Brak dostępnych czatów Telegram,Nenhum Chat do Telegram Disponível
notification_channel_description,قناة لإشعارات خدمة LogMonitor,Kanal für LogMonitorService-Benachrichtigungen,Channel for LogMonitorService notifications,Canal para las notificaciones del servicio LogMonitor,Canal pour les notifications du service LogMonitor,Canale per le notifiche del servizio LogMonitor,LogMonitorService通知のチャンネル,Kanaal voor LogMonitorService-meldingen,Kanał dla powiadomień usługi LogMonitor,Canal para notificações do serviço LogMonitor
notification_channel_id,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel,LogMonitorServiceChannel
notification_channel_name,خدمة مراقبة السجلات,Log Monitor Service,Log Monitor Service,Servicio de Monitoreo de Logs,Service de Surveillance des Logs,Servizio di Monitoraggio Log,ログ監視サービス,Log Monitor Service,Usługa monitorowania logów,Serviço de Monitoramento de Logs
notification_permission_required,مطلوب إذن الإشعارات للوظائف الكاملة.,Für die volle Funktionalität ist eine Benachrichtigungsberechtigung erforderlich.,Notification permission is required for full functionality.,Se requiere permiso de notificación para la funcionalidad completa.,La permission de notification est requise pour une fonctionnalité complète.,Il permesso di notifica è richiesto per la piena funzionalità.,完全な機能には通知の許可が必要です。,Meldingsmachtiging is vereist voor volledige functionaliteit.,Wymagane jest zezwolenie na powiadomienia dla pełnej funkcjonalności.,Permissão de notificação é necessária para funcionalidade completa.
notification_text,مراقبة أحداث XCTrack,XCTrack-Ereignisse überwachen,Monitoring XCTrack events,Monitoreando eventos XCTrack,Surveillance des événements XCTrack,Monitoraggio eventi XCTrack,XCTrackイベントを監視,XCTrack-gebeurtenissen monitoren,Monitorowanie wydarzeń XCTrack,Monitorando eventos XCTrack
notification_title,AIR3 XCT Addon,AIR3 XCT Add-on,AIR3 XCT Addon,AIR3 XCT Addon,AIR3 XCT Addon,AIR3 XCT Addon,AIR3 XCTアドオン,AIR3 XCT Addon,AIR3 XCT Addon,AIR3 XCT Addon
offline_mode_using_cached_chats,لا يوجد اتصال بالإنترنت. يتم استخدام الدردشات المحفوظة مسبقًا.,Keine Internetverbindung. Zuvor gespeicherte Chats werden verwendet.,No internet connection. Using previously saved chats.,Sin conexión a Internet. Usando chats guardados previamente.,Aucune connexion Internet. Utilisation des discussions précédemment sauvegardées.,Nessuna connessione internet. Utilizzo delle chat precedentemente salvate.,インターネット接続がありません。以前に保存されたチャットを使用しています。,Geen internetverbinding. Gebruik van eerder opgeslagen chats.,Brak połączenia z internetem. Używanie wcześniej zapisanych czatów.,Sem conexão com a internet. Usando chats salvos anteriormente.
offline_mode_warning,أنت غير متصل بالإنترنت. سيتم حفظ المهمة، لكنها قد تفشل إذا لم يتم إضافة البوت أو تفعيله في الدردشة المختارة.,"Du bist offline. Die Aufgabe wird gespeichert, kann aber fehlschlagen, wenn der Bot im ausgewählten Chat nicht hinzugefügt oder aktiviert wurde.","You are offline. The task will be saved, but it may fail if the bot is not added or activated in the selected chat.","Estás desconectado. La tarea se guardará, pero podría fallar si el bot no está añadido o activado en el chat seleccionado.","Vous êtes hors ligne. La tâche sera sauvegardée, mais pourrait échouer si le bot n'est pas ajouté ou activé dans la discussion sélectionnée.","Sei offline. Il compito sarà salvato, ma potrebbe fallire se il bot non è aggiunto o attivato nella chat selezionata.",オフラインです。タスクは保存されますが、選択したチャットにボットが追加または有効化されていない場合、失敗する可能性があります。,"Je bent offline. De taak wordt opgeslagen, maar kan mislukken als de bot niet is toegevoegd of geactiveerd in de geselecteerde chat.","Jesteś offline. Zadanie zostanie zapisane, ale może się nie powieść, jeśli bot nie zostanie dodany lub aktywowany w wybranym czacie.","Você está offline. A tarefa será salva, mas pode falhar se o bot não for adicionado ou ativado no chat selecionado."
offline_task_warning_message,أنت تقوم بإنشاء مهمة دون الوصول إلى الإنترنت. قد تفشل المهمة إذا لم يتم إعداد البوت بشكل صحيح في الدردشة المختارة. المتابعة على أي حال؟,"Du erstellst eine Aufgabe ohne Internetzugang. Die Aufgabe kann fehlschlagen, wenn der Bot im ausgewählten Chat nicht richtig eingerichtet ist. Trotzdem fortfahren?",You are creating a task without internet access. The task may fail if the bot is not properly set up in the selected chat. Proceed anyway?,Estás creando una tarea sin acceso a Internet. La tarea podría fallar si el bot no está configurado correctamente en el chat seleccionado. ¿Continuar de todos modos?,Vous créez une tâche sans accès Internet. La tâche pourrait échouer si le bot n'est pas correctement configuré dans la discussion sélectionnée. Continuer quand même ?,Stai creando un compito senza accesso a internet. Il compito potrebbe fallire se il bot non è configurato correttamente nella chat selezionata. Procedere comunque?,インターネットアクセスなしでタスクを作成しています。選択したチャットでボットが正しく設定されていない場合、タスクは失敗する可能性があります。それでも続行しますか？,Je maakt een taak zonder internettoegang. De taak kan mislukken als de bot niet correct is ingesteld in de geselecteerde chat. Toch doorgaan?,"Tworzysz zadanie bez dostępu do internetu. Zadanie może się nie powieść, jeśli bot nie jest prawidłowo skonfigurowany w wybranym czacie. Kontynuować mimo to?",Você está criando uma tarefa sem acesso à internet. A tarefa pode falhar se o bot não estiver configurado corretamente no chat selecionado. Prosseguir mesmo assim?
offline_task_warning_title,إنشاء مهمة دون اتصال,Offline-Aufgabenerstellung,Offline Task Creation,Creación de Tarea Sin Conexión,Création de Tâche Hors Ligne,Creazione Compito Offline,オフラインタスク作成,Offline Taakcreatie,Tworzenie zadania offline,Criação de Tarefa Offline
ok_button,موافق,OK,OK,OK,OK,OK,OK,OK,OK,OK
open_bot_in_telegram,فتح البوت في تيليجرام,Bot in Telegram öffnen,Open Bot in Telegram,Abrir Bot en Telegram,Ouvrir le Bot dans Telegram,Apri Bot in Telegram,Telegramでボットを開く,Open Bot in Telegram,Otwórz bota w Telegramie,Abrir Bot no Telegram
open_telegram,فتح تيليجرام,Telegram öffnen,Open Telegram,Abrir Telegram,Ouvrir Telegram,Apri Telegram,Telegramを開く,Open Telegram,Otwórz Telegram,Abrir Telegram
open_telegram_button,فتح تيليجرام,Telegram öffnen,Open Telegram,Abrir Telegram,Ouvrir Telegram,Apri Telegram,Telegramを開く,Open Telegram,Otwórz Telegram,Abrir Telegram
open_telegram_group_prompt,فتح تيليجرام، اختر مجموعة، أضف البوت، وأرسل /start لتفعيله.,"Telegram öffnen, Gruppe auswählen, Bot hinzufügen und /start senden, um ihn zu aktivieren.","Open Telegram, choose a group, add the bot, and send /start to activate it.","Abrir Telegram, elige un grupo, añade el bot, y envía /start para activarlo.","Ouvrir Telegram, choisissez un groupe, ajoutez le bot, et envoyez /start pour l'activer.","Apri Telegram, scegli un gruppo, aggiungi il bot e invia /start per attivarlo.",Telegramを開き、グループを選択し、ボットを追加して、/startを送信して有効化してください。,"Open Telegram, kies een groep, voeg de bot toe, en stuur /start om deze te activeren.","Otwórz Telegram, wybierz grupę, dodaj bota i wyślij /start, aby go aktywować.","Abrir Telegram, escolher um grupo, adicionar o bot e enviar /start para ativá-lo."
open_telegram_prompt,هل ترغب في فتح تيليجرام لإضافة البوت إلى مجموعة موجودة؟,"Möchtest du Telegram öffnen, um den Bot zu einer bestehenden Gruppe hinzuzufügen?",Would you like to open Telegram to add the bot to an existing group?,¿Te gustaría abrir Telegram para añadir el bot a un grupo existente?,Souhaitez-vous ouvrir Telegram pour ajouter le bot à un groupe existant ?,Vuoi aprire Telegram per aggiungere il bot a un gruppo esistente?,既存のグループにボットを追加するためにTelegramを開きますか？,Wilt u Telegram openen om de bot toe te voegen aan een bestaande groep?,"Czy chcesz otworzyć Telegram, aby dodać bota do istniejącej grupy?",Você gostaria de abrir o Telegram para adicionar o bot a um grupo existente?
open_telegram_with_start,فتح تيليجرام مع /start,Telegram mit /start öffnen,Open Telegram with /start,Abrir Telegram con /start,Ouvrir Telegram avec /start,Apri Telegram con /start,/startでTelegramを開く,Open Telegram met /start,Otwórz Telegram z /start,Abrir Telegram com /start
other_option,آخر...,Sonstiges...,Other...,Otro...,Autre...,Altro...,その他...,Anders...,Inne...,Outro...
overlay_permission_denied,تم رفض إذن التراكب. إذا لم يتم إدراج التطبيق في الإعدادات، حاول إعادة التثبيت أو استخدم ADB: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow',"Overlay-Berechtigung verweigert. Falls die App nicht in den Einstellungen aufgeführt ist, installieren Sie sie neu oder verwenden Sie ADB: „adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow“.","Overlay permission denied. If the app isn\'t listed in Settings, try reinstalling or use ADB: \'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow\'","Permiso de superposición denegado. Si la aplicación no está listada en Configuración, intenta reinstalar o usa ADB: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow'","Permission de superposition refusée. Si l'application n'est pas listée dans les Paramètres, essayez de réinstaller ou utilisez ADB : 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow'","Permesso di sovrapposizione negato. Se l'app non è elencata nelle Impostazioni, prova a reinstallare o usa ADB: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow'",オーバーレイの許可が拒否されました。アプリが設定にリストされていない場合、再インストールを試すか、ADBを使用してください: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow',"Overlay-machtiging geweigerd. Als de app niet in Instellingen staat, probeer dan opnieuw te installeren of gebruik ADB: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow'","Zezwolenie na nakładkę zostało odrzucone. Jeśli aplikacja nie jest wymieniona w Ustawieniach, spróbuj ponownie zainstalować lub użyj ADB: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow'","Permissão de sobreposição negada. Se o aplicativo não estiver listado em Configurações, tente reinstalar ou use ADB: 'adb shell appops set com.xc.air3xctaddon SYSTEM_ALERT_WINDOW allow'"
overlay_permission_description,"هذا التطبيق يحتاج إلى إذن للعرض فوق التطبيقات الأخرى لتشغيل التطبيقات في الخلفية مع الحفاظ على XCTrack نشطًا. يرجى تمكين ""العرض فوق التطبيقات الأخرى"" في الإعدادات.","Diese App benötigt die Berechtigung, über anderen Apps angezeigt zu werden, um Anwendungen im Hintergrund zu starten und gleichzeitig XCTrack aktiv zu halten. Bitte aktivieren Sie „Über anderen Apps anzeigen“ in den Einstellungen.",This app needs permission to display over other apps to launch applications in the background while keeping XCTrack active. Please enable \'Display over other apps\' in Settings.,"Esta aplicación necesita permiso para mostrar sobre otras aplicaciones para lanzar aplicaciones en segundo plano mientras se mantiene XCTrack activo. Por favor, activa 'Mostrar sobre otras aplicaciones' en Configuración.",Cette application a besoin de la permission pour afficher au-dessus des autres applications pour lancer des applications en arrière-plan tout en gardant XCTrack actif. Veuillez activer 'Afficher au-dessus des autres applications' dans les Paramètres.,Questa app necessita del permesso per visualizzare sopra altre app per lanciare applicazioni in background mantenendo XCTrack attiva. Per favore abilita 'Visualizza sopra altre app' nelle Impostazioni.,このアプリは、XCTrackをアクティブに保ちながらバックグラウンドでアプリケーションを起動するために、他のアプリケーションの上に表示する許可が必要です。「他のアプリケーションの上に表示」を設定で有効にしてください。,Deze app heeft toestemming nodig om boven andere apps te tonen om apps in de achtergrond te starten terwijl XCTrack actief blijft. Schakel 'Weergeven boven andere apps' in bij Instellingen.,"Ta aplikacja wymaga uprawnień do wyświetlania ponad innymi aplikacjami, aby uruchamiać aplikacje w tle, jednocześnie utrzymując XCTrack aktywnym. Proszę włączyć „Wyświetlaj ponad innymi aplikacjami” w Ustawieniach.","Este aplicativo precisa de permissão para exibir sobre outros aplicativos para lançar aplicações em segundo plano enquanto mantém o XCTrack ativo. Por favor, ative 'Exibir sobre outros aplicativos' em Configurações."
overlay_permission_granted,تم منح إذن التراكب,Overlay-Berechtigung erteilt,Overlay permission granted,Permiso de superposición concedido,Permission de superposition accordée,Permesso di sovrapposizione concesso,オーバーレイの許可が与えられました,Overlay-machtiging verleend,Zezwolenie na nakładkę zostało przyznane,Permissão de sobreposição concedida
overlay_permission_required,مطلوب إذن التراكب لتشغيل التطبيقات في الخلفية,"Overlay-Berechtigung ist erforderlich, um Apps im Hintergrund zu starten.",Overlay permission is required to launch apps in the background,Se requiere permiso de superposición para lanzar aplicaciones en segundo plano,La permission de superposition est requise pour lancer des applications en arrière-plan,Il permesso di sovrapposizione è richiesto per lanciare app in background,バックグラウンドでアプリを起動するにはオーバーレイの許可が必要です,Overlay-machtiging is vereist om apps in de achtergrond te starten,"Wymagane jest zezwolenie na nakładkę, aby uruchamiać aplikacje w tle",Permissão de sobreposição é necessária para lançar aplicativos em segundo plano
pilot_name_label,اسم الطيار,Pilotenname,Pilot Name,Nombre del Piloto,Nom du Pilote,Nome Pilota,パイロット名,Pilootnaam,Nazwa pilota,Nome do Piloto
